Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,527,13,64,17
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,467,31,23,19
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,321,10,67,4
Shrikhand Puri,West India,Breakfast,Weight Gain,612,10,63,23
Misal Pav with Butter,West India,Breakfast,Weight Gain,517,17,69,20
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,156,8,26,1
Vegetable Dalma,East India,Lunch,Weight Loss,291,11,43,6
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,320,11,51,6
Vegetable Dalma,East India,Lunch,Weight Loss,264,11,50,6
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,638,41,63,26
Chicken Sukka with Naan,West India,Lunch,Weight Gain,712,39,55,23
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,552,14,71,22
Batata Vada with Pav,West India,Breakfast,Weight Gain,538,11,64,22
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,128,4,22,1
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,176,6,24,6
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,363,31,29,18
Aamti with Rice,West India,Lunch,Weight Loss,300,11,54,7
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,249,9,40,8
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,296,6,29,14
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,265,18,10,12
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,199,1,42,1
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,727,36,75,27
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,306,28,6,12
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,562,28,64,19
Dal Dhokli,West India,Lunch,Balanced,390,12,61,13
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,300,9,43,7
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,213,6,39,5
Rajma Chawal,North India,Lunch,Balanced,508,14,70,10
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,194,5,39,6
Tomato Shorba with Roti,East India,Dinner,Weight Loss,206,5,29,5
Fish Fry with Rice and Dal,East India,Dinner,Balanced,410,25,56,13
Thepla with Curd,West India,Breakfast,Balanced,287,10,42,11
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,267,12,30,11
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,360,35,39,4
Sprouts Chaat,North India,Breakfast,Weight Loss,171,9,25,3
Bisi Bele Bath,South India,Lunch,Balanced,439,13,64,11
Vegetable Daliya,Pan India,Dinner,Health & Wellness,235,6,41,5
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,299,8,42,6
Dal Shorba with Roti,North India,Dinner,Weight Loss,226,9,30,5
Mutton Rezala with Roti,East India,Dinner,Weight Gain,567,30,49,28
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,179,4,37,4
Thekua with Masala Chai,East India,Breakfast,Balanced,286,6,42,8
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,278,5,33,15
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,253,20,10,12
Puran Poli with Amti,West India,Lunch,Balanced,480,11,73,14
Mutton Rezala with Roti,East India,Dinner,Weight Gain,615,28,47,25
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,311,17,40,8
Fish Recheado with Rice,West India,Dinner,Weight Gain,559,27,59,21
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,231,8,38,9
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,637,23,61,26
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,345,10,50,10
Kanda Poha,West India,Breakfast,Weight Loss,258,6,48,6
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,346,43,13,14
Fish Fry with Rice and Dal,East India,Dinner,Balanced,418,26,52,13
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,706,34,73,27
Vegetable Dalma,East India,Lunch,Weight Loss,283,9,45,5
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,177,8,29,5
Rajma Chawal,North India,Lunch,Balanced,484,15,74,10
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,583,18,68,24
Vegetable Dalma,East India,Lunch,Weight Loss,313,9,45,5
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,359,21,42,9
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,254,5,32,15
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,372,25,12,22
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,285,14,41,7
Shrikhand Puri,West India,Breakfast,Weight Gain,535,12,80,22
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,124,4,22,2
Chicken Sukka with Naan,West India,Lunch,Weight Gain,676,34,63,28
Stuffed Capsicum with Raita,North India,Dinner,Balanced,338,13,46,10
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,295,30,6,12
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,526,33,64,15
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,412,12,57,10
Rice with Mutton Kosha,East India,Lunch,Weight Gain,796,37,83,29
Dalma with Rice,East India,Lunch,Balanced,404,15,62,8
Tomato Shorba with Roti,East India,Dinner,Weight Loss,209,5,30,4
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,650,20,82,26
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,127,3,19,2
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,129,2,21,2
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,177,5,44,2
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,281,11,46,7
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,390,10,53,9
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,587,14,63,22
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,244,9,36,7
Chicken Sukka with Naan,West India,Lunch,Weight Gain,679,38,62,28
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,486,14,49,22
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,199,8,39,4
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,342,10,52,6
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,212,8,37,4
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,161,3,35,4
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,203,7,33,3
Rava Idli with Chutney,South India,Breakfast,Weight Gain,467,9,54,16
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,150,1,36,1
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,288,10,36,7
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,583,39,59,19
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,311,26,5,11
Puran Poli with Amti,West India,Lunch,Balanced,437,11,68,14
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,604,18,74,27
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,218,5,25,5
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,176,5,35,1
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,244,3,62,1
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,413,30,25,23
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,698,45,77,28
Puri Bhaji,North India,Breakfast,Weight Gain,524,9,63,23
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,143,4,14,5
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,122,4,22,1
Gujarati Thali,West India,Lunch,Weight Gain,723,18,102,25
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,125,2,19,1
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,184,4,34,5
Rava Idli with Chutney,South India,Breakfast,Weight Gain,369,9,54,14
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,220,6,32,5
Stuffed Capsicum with Raita,North India,Dinner,Balanced,347,13,46,12
Vegetable Poha,North India,Breakfast,Weight Loss,202,4,39,4
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,292,14,30,10
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,236,7,34,10
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,453,17,56,22
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,510,50,9,25
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,377,22,38,7
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,503,17,51,22
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,487,52,40,11
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,495,9,60,15
Tomato Shorba with Roti,East India,Dinner,Weight Loss,195,5,26,4
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,258,9,36,7
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,646,33,66,24
Kanda Poha,West India,Breakfast,Weight Loss,236,5,41,5
Misal Pav with Butter,West India,Breakfast,Weight Gain,491,16,62,20
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,422,11,61,9
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,414,41,41,12
Mutton Korma with Roti,North India,Dinner,Weight Gain,489,31,40,21
Mutton Rezala with Roti,East India,Dinner,Weight Gain,633,35,45,24
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,591,32,58,21
Thepla with Curd,West India,Breakfast,Balanced,321,9,42,11
Kootu with Brown Rice,South India,Lunch,Weight Loss,309,10,46,5
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,664,37,58,29
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,612,12,63,18
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,441,53,39,11
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,273,10,48,7
Oats Pongal,South India,Breakfast,Weight Loss,223,7,41,5
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,387,23,39,9
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,193,4,34,4
Sprouts Chaat,North India,Breakfast,Weight Loss,159,9,28,2
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,226,6,39,6
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,312,9,52,6
Egg Curry with Rice,South India,Dinner,Weight Gain,593,27,56,21
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,514,29,69,18
Upma with Vegetables,North India,Breakfast,Weight Loss,189,6,33,5
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,302,8,48,7
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,337,10,64,5
Millet Sambar Rice,South India,Lunch,Weight Loss,340,10,52,6
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,431,52,39,11
Misal Pav with Butter,West India,Breakfast,Weight Gain,545,17,64,20
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,256,8,40,8
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,688,31,75,23
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,608,36,66,27
Shrikhand Puri,West India,Breakfast,Weight Gain,539,12,66,22
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,174,10,13,8
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,470,10,53,20
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,456,10,58,19
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,349,10,56,4
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,270,13,29,11
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,303,12,55,6
Misal Pav with Butter,West India,Breakfast,Weight Gain,553,15,78,21
Mutton Rezala with Roti,East India,Dinner,Weight Gain,590,34,50,23
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,308,32,2,21
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,164,11,14,8
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,109,2,19,2
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,340,28,11,24
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,611,36,77,23
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,510,14,57,24
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,386,22,40,9
Oats Pongal,South India,Breakfast,Weight Loss,249,7,39,6
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,240,12,29,7
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,421,10,71,16
Chicken Biryani,North India,Dinner,Weight Gain,577,32,74,23
Mutton Rezala with Roti,East India,Dinner,Weight Gain,646,34,49,26
Shrikhand Puri,West India,Breakfast,Weight Gain,516,13,65,24
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,284,8,40,7
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,124,3,18,1
Upma with Vegetables,North India,Breakfast,Weight Loss,186,5,38,4
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,234,5,38,5
Upma with Vegetables,North India,Breakfast,Weight Loss,220,5,38,4
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,562,29,68,15
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,414,32,24,22
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,298,10,42,7
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,506,24,64,18
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,335,9,60,4
Crab Masala with Rice,South India,Dinner,Weight Gain,636,38,64,21
Puttu with Kadala Curry,South India,Breakfast,Balanced,334,15,44,7
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,488,13,68,20
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,182,2,45,1
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,161,3,33,4
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,379,34,41,4
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,257,13,40,4
Rava Idli with Chutney,South India,Breakfast,Weight Gain,397,9,57,16
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,221,7,37,3
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,463,13,62,20
Mutton Rezala with Roti,East India,Dinner,Weight Gain,624,28,52,29
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,397,26,37,7
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,271,13,33,13
Aamras with Puri,West India,Breakfast,Weight Gain,610,7,71,18
Puri Bhaji,North India,Breakfast,Weight Gain,528,9,69,24
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,613,31,66,22
Sol Kadhi with Rice,West India,Dinner,Weight Loss,257,7,40,8
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,260,15,26,12
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,535,48,41,11
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,113,2,21,2
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,300,9,35,12
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,228,5,35,4
Egg Curry with Rice,South India,Dinner,Weight Gain,490,25,52,20
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,522,12,64,17
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,93,1,22,1
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,346,10,54,6
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,607,28,67,16
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,362,12,68,10
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,270,6,27,15
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,209,8,22,6
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,375,44,32,13
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,372,27,12,23
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,231,7,32,5
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,86,1,23,1
Sol Kadhi with Rice,West India,Dinner,Weight Loss,286,8,33,8
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,303,8,44,7
Chicken Sukka with Naan,West India,Lunch,Weight Gain,611,36,59,27
Rava Idli with Chutney,South India,Breakfast,Weight Gain,465,11,62,15
Dalma with Rice,East India,Lunch,Balanced,405,15,54,9
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,364,18,33,12
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,435,40,27,11
Kadhi Pakora with Rice,North India,Dinner,Balanced,430,13,62,12
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,233,6,36,4
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,513,30,55,17
Puri Bhaji,North India,Breakfast,Weight Gain,535,9,65,21
Millet Sambar Rice,South India,Lunch,Weight Loss,326,11,57,7
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,535,20,82,26
Shrikhand Puri,West India,Breakfast,Weight Gain,618,12,67,24
Moong Dal Khichdi,East India,Breakfast,Weight Loss,218,10,34,5
Mutton Biryani,North India,Lunch,Weight Gain,734,37,64,25
Vegetable Daliya,Pan India,Dinner,Health & Wellness,228,6,35,5
Aamti with Rice,West India,Lunch,Weight Loss,343,11,62,6
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,306,8,50,7
Oats Idli with Sambar,North India,Breakfast,Weight Loss,237,7,41,4
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,326,16,43,7
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,108,2,19,2
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,417,10,55,18
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,197,5,27,5
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,229,7,35,5
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,227,15,28,5
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,192,6,39,4
Upma with Vegetables,North India,Breakfast,Weight Loss,206,5,36,5
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,203,9,32,2
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,414,9,57,14
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,130,5,13,5
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,278,8,33,7
Idli with Sambar,South India,Dinner,Weight Loss,205,6,35,3
Crab Masala with Rice,South India,Dinner,Weight Gain,588,38,60,23
Rice with Mutton Kosha,East India,Lunch,Weight Gain,836,39,85,31
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,287,7,33,9
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,194,12,15,7
Upma with Vegetables,North India,Breakfast,Weight Loss,183,6,35,4
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,534,46,37,22
Moong Dal Khichdi,East India,Breakfast,Weight Loss,212,9,39,5
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,288,10,40,7
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,509,44,33,11
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,455,48,11,23
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,145,3,23,2
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,300,9,42,8
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,332,13,42,8
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,753,37,74,27
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,209,5,40,1
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,334,11,57,5
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,653,41,69,28
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,229,11,28,3
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,439,11,55,17
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,191,10,34,4
Upma with Vegetables,North India,Breakfast,Weight Loss,187,5,37,4
Puran Poli with Amti,West India,Lunch,Balanced,479,12,70,14
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,395,25,12,21
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,606,33,55,17
Rava Idli with Chutney,South India,Breakfast,Weight Gain,387,9,63,14
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,357,49,9,22
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,701,43,68,29
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,270,14,40,5
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,781,41,67,27
Chicken Sukka with Naan,West India,Lunch,Weight Gain,706,39,52,28
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,452,10,58,16
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,411,44,9,27
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,500,15,63,23
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,359,11,71,9
Egg Curry with Rice,South India,Dinner,Weight Gain,597,24,64,18
Egg Biryani,East India,Lunch,Weight Gain,554,26,66,23
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,279,9,40,6
Rava Idli with Chutney,South India,Breakfast,Weight Gain,465,9,56,14
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,300,9,52,6
Puran Poli with Amti,West India,Lunch,Balanced,443,12,68,14
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,313,15,45,8
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,413,39,25,15
Sol Kadhi with Rice,West India,Dinner,Weight Loss,286,7,37,8
Vegetable Dalma,East India,Lunch,Weight Loss,270,9,43,5
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,256,2,59,1
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,445,52,10,12
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,193,9,31,3
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,560,17,71,22
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,492,15,60,11
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,150,2,34,1
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,141,4,23,1
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,239,10,30,3
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,198,7,25,6
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,270,2,53,1
Moong Dal Khichdi,East India,Breakfast,Weight Loss,229,10,38,5
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,286,8,39,8
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,182,6,22,5
Egg Biryani,East India,Lunch,Weight Gain,578,27,72,21
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,543,14,55,23
Chicken Biryani,North India,Dinner,Weight Gain,589,34,74,24
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,453,38,43,12
Brown Rice with Rajma,North India,Lunch,Weight Loss,388,15,59,6
Misal Pav with Butter,West India,Breakfast,Weight Gain,612,14,69,19
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,224,13,28,5
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,421,36,19,17
Vegetable Daliya,Pan India,Dinner,Health & Wellness,206,6,41,5
Millet Sambar Rice,South India,Lunch,Weight Loss,374,11,59,6
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,749,35,71,23
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,428,34,23,19
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,310,6,30,16
Gujarati Thali,West India,Lunch,Weight Gain,680,18,105,25
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,276,9,49,7
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,365,39,14,16
Dal Dhokli,West India,Lunch,Balanced,382,11,69,11
Luchi with Alur Dom,East India,Breakfast,Weight Gain,527,7,58,23
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,305,7,44,7
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,384,10,60,11
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,510,51,34,10
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,239,7,38,3
Fish Recheado with Rice,West India,Dinner,Weight Gain,646,26,66,22
Chicken Sukka with Naan,West India,Lunch,Weight Gain,642,41,62,28
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,470,51,37,11
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,291,9,45,8
Tomato Shorba with Roti,East India,Dinner,Weight Loss,187,5,29,4
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,498,10,56,19
Sprouts Chaat,North India,Breakfast,Weight Loss,181,9,24,2
Curd Rice with Pickle,South India,Dinner,Balanced,352,10,61,8
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,256,7,41,7
Mutton Korma with Roti,North India,Dinner,Weight Gain,500,30,44,26
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,264,2,59,1
Puran Poli with Amti,West India,Lunch,Balanced,396,11,64,12
Rajma Chawal,North India,Lunch,Balanced,477,17,75,9
Vegetable Upma,South India,Dinner,Weight Loss,234,4,27,5
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,560,29,68,16
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,386,32,2,22
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,676,32,67,20
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,450,16,50,20
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,416,37,29,14
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,267,8,33,7
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,439,36,50,13
Chicken Biryani,North India,Dinner,Weight Gain,615,32,74,21
South Indian Thali,South India,Lunch,Balanced,493,15,67,13
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,475,54,9,11
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,510,34,49,22
